# Program: ./chanconfig.pl  Version 1.21 2018-04-09 13:44 claude
# Generated by dcmgr@transform at 2021/09/16 17:45:06
# Modified by awk on Fri Sep 17 15:56:44 PDT 2021
# DB: dcucb  connect: dcucb  user: eew
# progname: EEW_UCB
# Epoch time: 2021/09/16 17:45:06
# distinct: distinct
# override: 0
# clipcheck: 1
# dupcheck: 1
# gaincheck: 1
# zcheck: 1
# showsensortype: 1
# showgroundmotionclip: 1
# showazdip: 1

#columns: network station location channel latitude longitude elevation samplerate gain units groundmotionclip azimuth dip sensortype
BK   BDM 00 HNZ 37.9540 -121.8655   219.8   100.00  2.142005e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
BK   BKS 00 BHE 37.8762 -122.2356   243.9    40.00  4.734530e+09               DU/M/S        UNKNOWN  90.0   0.0 Streckeisen STS-1/E300 VBB Feedback Horizontal Sei
BK   BKS 00 BHN 37.8762 -122.2356   243.9    40.00  3.217870e+09               DU/M/S        UNKNOWN   0.0   0.0 Streckeisen STS-1/E300 VBB Feedback Horizontal Sei
BK   BKS 00 BHZ 37.8762 -122.2356   243.9    40.00  5.877059e+09               DU/M/S       0.001427   0.0 -90.0 Streckeisen STS-1/E300 VBB Feedback Vertical Seism
BK   BKS 00 HHE 37.8762 -122.2356   243.9   100.00  4.734530e+09               DU/M/S        UNKNOWN  90.0   0.0 Streckeisen STS-1/E300 VBB Feedback Horizontal Sei
BK   BKS 00 HHN 37.8762 -122.2356   243.9   100.00  3.217870e+09               DU/M/S        UNKNOWN   0.0   0.0 Streckeisen STS-1/E300 VBB Feedback Horizontal Sei
BK   BKS 00 HHZ 37.8762 -122.2356   243.9   100.00  5.877059e+09               DU/M/S       0.001427   0.0 -90.0 Streckeisen STS-1/E300 VBB Feedback Vertical Seism
BK   BKS 00 HNE 37.8762 -122.2356   243.9   100.00  2.139951e+05            DU/M/S**2        UNKNOWN  90.0   0.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
BK   BKS 00 HNN 37.8762 -122.2356   243.9   100.00  2.142348e+05            DU/M/S**2        UNKNOWN   0.0   0.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
BK   BKS 00 HNZ 37.8762 -122.2356   243.9   100.00  2.140978e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
BK  BL67 00 BHE 37.8749 -122.2432   736.2    40.00  6.316622e+08               DU/M/S        UNKNOWN  90.0   0.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 BHN 37.8749 -122.2432   736.2    40.00  6.325010e+08               DU/M/S        UNKNOWN   0.0   0.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 BHZ 37.8749 -122.2432   736.2    40.00  6.274679e+08               DU/M/S       0.013369   0.0 -90.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 HHE 37.8749 -122.2432   736.2   100.00  6.316622e+08               DU/M/S        UNKNOWN  90.0   0.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 HHN 37.8749 -122.2432   736.2   100.00  6.325010e+08               DU/M/S        UNKNOWN   0.0   0.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 HHZ 37.8749 -122.2432   736.2   100.00  6.274679e+08               DU/M/S       0.013369   0.0 -90.0 Guralp CMG-3T Broad Band Seismometer
BK  BL67 00 HNE 37.8749 -122.2432   736.2   100.00  4.279448e+05            DU/M/S**2        UNKNOWN  90.0   0.0 Kinemetrics FBA ES-T Accel. (2 g max 10 v/g)
BK  BL67 00 HNN 37.8749 -122.2432   736.2   100.00  4.284062e+05            DU/M/S**2        UNKNOWN   0.0   0.0 Kinemetrics FBA ES-T Accel. (2 g max 10 v/g)
